OBJECTID,ERC_ID,OBJECTID_1,ERC_ID_1,INCIDENT_TYPE,INCIDENT_STATUS,COMMS_COMMENT,ROAD_CLOSURE_TYPE,DECLARED_ROAD_NUMBER,DECLARED_ROAD_NAME,DECLARED_ROAD_DIRECTION,CLOSED_ROAD_NAME,CLOSED_ROAD_SRNS,CLOSED_ROAD_RMA_CLASS,CLOSED_ROAD_LGA,CLOSED_ROAD_VR_REGION,CLOSED_ROAD_SES_REGION,CLOSED_ROAD_TRAM,CLOSED_ROAD_BUS,INCIDENT_DISTANCE,INCIDENT_DIRECTION,INCIDENT_INT_ROAD_NAME,INCIDENT_LOCALITY,INCIDENT_MELWAY,INCIDENT_VCSD,START_INT_ROAD_NAME,START_INT_LOCALITY,END_INT_ROAD_NAME,END_INT_LOCALITY,DT_CREATED,DT_UPDATED,DT_PUBLISH_UNTIL,DT_LAST_LN_UPDATE,POINT_TYPE
2604,ERC017460,11026,ERC017460,Emergency Works,inactive,Road now open between Waverley Road and Huntly Street after earlier water works. ,Road Closed,,,forward,HOLMES ROAD,,MU,MOONEE VALLEY,METRO NORTH WEST,MELBOURNE METROPOLITAN (CENTRAL),,"468, 467",0,East,,MOONEE PONDS,28E7,78G6,WAVERLEY STREET,MOONEE PONDS,HUNTLY STREET,MOONEE PONDS,10/02/2014 09:56:52,10/02/2014 17:15:41,10/02/2014 17:30:39,10/02/2014 17:15:40,MIDPOINT
2605,ERC017473,11027,ERC017473,Fire,inactive,Road Closed between Reed Lookout to Wartook Rise.  Drivers are advised to avoid travel to the area. For fire updates please visit www.cfa.vic.gov.au,Road Closed,4002,NORTHERN GRAMPIANS ROAD,forward,MT VICTORY ROAD,C222,AO,NORTHERN GRAMPIANS,WESTERN,GRAMPIANS (MID WEST),,,615,SouthEast,,ZUMSTEINS,,55H4,WARTOOK RISE,WARTOOK,ROSE CREEK ROAD,ZUMSTEINS,10/02/2014 13:57:16,28/02/2014 13:40:21,28/02/2014 14:40:00,28/02/2014 13:40:21,MIDPOINT
2606,ERC017942,11833,ERC017942,Emergency Works,inactive,All lanes clear between Hope Street and Autumn Street after emergency power works.,Traffic Alert,2800,CORIO-WAURN PONDS ROAD,forward,LATROBE TERRACE,A10,AH,GEELONG,SOUTH WESTERN,GRAMPIANS (MID WEST),,,0,North,,GEELONG,452A3,93G4,GORDON AVENUE,GEELONG,BROUGHAM STREET,GEELONG,04/03/2014 11:58:02,04/03/2014 15:57:07,04/03/2014 16:27:06,04/03/2014 15:57:07,MIDPOINT
2607,ERC018532,11455,ERC018532,Road Damage,inactive,"Road now open, however drivers may be stopped at times for landslip repair works between Parks Victoria carpark and The Grand Ridge Road. Drivers travelling through the area are advised to allow extra time. ",Traffic Alert,4018,TARRA VALLEY ROAD,forward,TARRA VALLEY ROAD,C484,AO,"LATROBE, WELLINGTON",EASTERN,GIPPSLAND (EAST),,,339,East,,BALOOK,,98A9,GRAND RIDGE ROAD,BALOOK,GRAND RIDGE ROAD,BALOOK,07/04/2014 16:25:47,04/06/2014 12:48:38,04/06/2014 13:03:36,04/06/2014 12:48:38,MIDPOINT
2608,ERC018560,12399,ERC018560,Fire,inactive,Road closed due to a pole fire. Emergency Services are on site. Drivers travelling through the area are advised to seek an alternate route. ,Road Closed,,,forward,LEATHER STREET,,MU,GEELONG,SOUTH WESTERN,GRAMPIANS (MID WEST),,,0,West,,BREAKWATER,466D2,93H4,TUCKER STREET,BREAKWATER,BOUNDARY ROAD,BREAKWATER,08/04/2014 16:27:52,09/04/2014 06:05:58,09/04/2014 06:05:54,09/04/2014 06:05:57,WHOLE
2610,ERC018853,11555,ERC018853,Police Incident,inactive,Police have closed the road due to a collision. Alternate routes are Whitehorse Rd and Burwood Hwy,Road Closed,5802,CANTERBURY ROAD,forward,CANTERBURY ROAD,,AO,WHITEHORSE,METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),,"768, 903, 732, 733, 735, 765",0,West,,BOX HILL,47C12,79D7,STATION STREET,BOX HILL,MIDDLEBOROUGH ROAD,BLACKBURN,20/04/2014 00:38:52,20/04/2014 04:46:31,20/04/2014 04:46:27,20/04/2014 04:46:28,MIDPOINT
2611,ERC020107,13142,ERC020107,Weather,inactive,Road closed between Harrietville and Hotham Heights due to heavy snow fall. Road is expected to be closed for several hours until conditions ease. Drivers are advised to seek an alternate route. ,Road Closed,4005,GREAT ALPINE ROAD,forward,GREAT ALPINE ROAD,B500,AH,"ALPINE, (MOUNT HOTHAM)",NORTH EASTERN,HUME (NORTH EAST),,,0,North,,HARRIETVILLE,,50B9,MILL ROAD,HARRIETVILLE,DARGO HIGH PLAINS ROAD,HOTHAM HEIGHTS,24/06/2014 11:13:26,24/06/2014 16:08:55,24/06/2014 18:08:17,24/06/2014 16:08:55,MIDPOINT
2612,ERC021304,13431,ERC021304,Emergency Works,inactive,Left lane closed in both directions between Forster Rd ,Traffic Alert,5303,WAVERLEY ROAD,forward,WAVERLEY ROAD,,AO,MONASH,METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),,"703, 737, 623",0,West,,MOUNT WAVERLEY,70H4,79D8,FORSTER ROAD,MOUNT WAVERLEY,BLACKBURN ROAD,GLEN WAVERLEY,21/08/2014 16:01:03,21/08/2014 20:46:47,21/08/2014 21:01:41,21/08/2014 20:46:46,MIDPOINT
2614,ERC024649,17250,ERC024649,Emergency Works,inactive,All lanes now open outbound between Frankston-Flinders Road and Eramosa Road after earlier works. ,Traffic Alert,2601,MORNINGTON PENINSULA FREEWAY,forward,PENINSULA LINK FREEWAY,M11,FW,MORNINGTON PENINSULA,METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),,"783, 782",0,NorthEast,,BAXTER,106E10,95D5,FRANKSTON-FLINDERS ROAD,BAXTER,ERAMOSA ROAD W,MOOROODUC,23/01/2015 10:26:02,23/01/2015 12:50:31,23/01/2015 13:05:16,23/01/2015 12:50:31,MIDPOINT
2615,ERC019641,11593,ERC019641,Vehicle Collision,inactive,All lanes clear between Greenhills Ln and Okeefes Rd after a vehicle collision. ,Road Closed,5111,WARRNAMBOOL-CARAMUT ROAD,forward,WARRNAMBOOL-CARAMUT ROAD,C174,AO,MOYNE,SOUTH WESTERN,BARWON (SOUTH WEST),,,0,SouthEast,,WINSLOW,,89H5,GREENHILLS LANE,WINSLOW,OKEEFES ROAD,WINSLOW,02/06/2014 10:05:07,02/06/2014 14:49:32,02/06/2014 15:49:30,02/06/2014 14:49:31,MIDPOINT
2616,ERC019969,12907,ERC019969,Emergency Works,inactive,All lanes clear southbound between William St and Charlton St after water works. ,Traffic Alert,5803,DONCASTER-MORDIALLOC ROAD,forward,STEPHENSONS ROAD,,AO,MONASH,METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),,"733, 623",0,North,,MOUNT WAVERLEY,70E3,79D8,WILLIAM STREET,MOUNT WAVERLEY,CHARLTON STREET,MOUNT WAVERLEY,17/06/2014 11:06:21,17/06/2014 18:17:25,17/06/2014 18:32:24,17/06/2014 18:17:25,MIDPOINT
2617,ERC020364,13297,ERC020364,Emergency Works,inactive,All lanes clear northbound between Cheltenham Rd and Hutton Rd after water works. ,Traffic Alert,2400,STATE (BELL/SPRINGVALE) HIGHWAY,forward,SPRINGVALE ROAD,,AH,"KINGSTON, DANDENONG",METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),,"828, 902, 812",0,North,,BRAESIDE,88H12,95D2,LOWER DANDENONG ROAD,BRAESIDE,HUTTON ROAD,BRAESIDE,07/07/2014 10:18:51,07/07/2014 16:19:21,07/07/2014 16:49:20,07/07/2014 16:19:21,MIDPOINT
2618,ERC021247,13707,ERC021247,Emergency Works,inactive,All lanes clear between Barry Rd ,Traffic Alert,2580,SOUTH GIPPSLAND HIGHWAY,forward,SOUTH GIPPSLAND HIGHWAY,A440,AH,SOUTH GIPPSLAND,EASTERN,GIPPSLAND (EAST),,,0,West,,AGNES,,103G4,BARRY ROAD,AGNES,SLADES HILL ROAD,WELSHPOOL,19/08/2014 10:15:54,19/08/2014 13:03:23,19/08/2014 13:33:21,19/08/2014 13:03:22,MIDPOINT
2619,ERC021540,15210,ERC021540,Emergency Works,inactive,All lanes clear between Warburton Hwy and Selby Rd after utility power works. ,Traffic Alert,5770,HEALESVILLE-KOO-WEE-RUP ROAD,forward,HEALESVILLE-KOO WEE RUP ROAD,C411,AO,YARRA RANGES,METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),,683,0,North,,WOORI YALLOCK,286F12,80A6,WARBURTON HIGHWAY,WOORI YALLOCK,SELBY ROAD,WOORI YALLOCK,04/09/2014 09:12:29,04/09/2014 15:59:16,04/09/2014 16:14:15,04/09/2014 15:59:16,MIDPOINT
2620,ERC024011,15797,ERC024011,Fire,inactive,Trask Road closed between Quinn Road and Dicker Road due to fire. Drivers are advised to avoid the area. ,Road Closed,,,forward,TRASK ROAD,,MU,BENALLA,NORTH EASTERN,HUME (NORTH EAST),,,0,North,,BROKEN CREEK,,33G8,QUINN ROAD,BROKEN CREEK,DICKER ROAD,BROKEN CREEK,18/12/2014 15:04:37,23/12/2014 08:56:37,23/12/2014 09:11:36,23/12/2014 08:56:37,WHOLE
2622,ERC017962,11453,ERC017962,Emergency Works,inactive,Speed limit back to normal between Ballarto Road and Skye Road after earlier emergency works. ,Traffic Alert,2601,MORNINGTON PENINSULA FREEWAY,forward,MORNINGTON PENINSULA FREEWAY,M11,FW,FRANKSTON,METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),,"832, 833",0,NorthWest,,CARRUM DOWNS,100C7,95D3,BALLARTO ROAD,CARRUM DOWNS,SKYE ROAD,LANGWARRIN,05/03/2014 09:18:04,05/03/2014 17:28:37,05/03/2014 17:58:23,05/03/2014 17:28:37,MIDPOINT
2623,ERC018380,12547,ERC018380,Road Damage,inactive,Mont Albert Road is closed between Union Road and Barton Street due to Emergency Water works. Local detours in place.,Road Closed,,,forward,MONT ALBERT ROAD,,MU,BOROONDARA,METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),,612,0,West,,SURREY HILLS,46H10,79C7,UNION ROAD,SURREY HILLS,BARTON STREET,SURREY HILLS,30/03/2014 11:12:58,30/03/2014 18:40:46,30/03/2014 18:55:42,30/03/2014 18:40:44,MIDPOINT
2624,ERC018604,12303,ERC018604,Vehicle Collision,inactive,Western Highway is now open after an earlier truck roll over. Speed limit restrictions remain in place. ,Road Closed,2520,WESTERN HIGHWAY,forward,WESTERN HIGHWAY,A8,AH,"PYRENEES, ARARAT",WESTERN,GRAMPIANS (MID WEST),,,0,,,BEAUFORT,,57F8,CROCKERS LANE,BEAUFORT,WALDRONS ROAD,MIDDLE CREEK,10/04/2014 05:20:48,10/04/2014 14:48:28,10/04/2014 16:47:35,10/04/2014 14:48:26,MIDPOINT
2625,ERC019061,12090,ERC019061,Emergency Works,inactive,All signals are working.,Traffic Alert,2040,MELTON HIGHWAY,forward,MELTON HIGHWAY,C754,AO,BRIMBANK,METRO NORTH WEST,MELBOURNE METROPOLITAN (CENTRAL),,"942, 419, 476",0,East,,TAYLORS LAKES,13H1,78E5,SUNSHINE AVENUE,KEILOR,KINGS ROAD,TAYLORS LAKES,05/05/2014 01:41:33,05/05/2014 03:16:17,05/05/2014 03:15:56,05/05/2014 03:16:16,MIDPOINT
2626,ERC019186,10719,ERC019186,Emergency Works,inactive,Road closed between Warrenwood Place and Union Road due to a burst water main. Emergency Services are on site. Drivers travelling through the area are advised to seek an alternate route. ,Road Closed,,,forward,NORTH ROAD,,MU,FRANKSTON,METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),,,0,West,,LANGWARRIN,103K8,95E4,WARRENWOOD PLACE,LANGWARRIN,UNION ROAD,LANGWARRIN,09/05/2014 15:11:45,10/05/2014 05:41:08,10/05/2014 05:56:07,09/05/2014 15:15:05,MIDPOINT
2627,ERC020188,13218,ERC020188,Debris,inactive,Road now open between Observatory Road and Ridge Crescent after the removal of a fallen tree. ,Road Closed,4016,RIDGE ROAD,forward,RIDGE ROAD,C403,AO,YARRA RANGES,METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),,"688, 694",0,SouthWest,,MOUNT DANDENONG,66F1,79G7,OBSERVATORY ROAD,MOUNT DANDENONG,RIDGE CRESCENT,MOUNT DANDENONG,26/06/2014 14:59:57,27/06/2014 17:34:30,27/06/2014 18:04:17,27/06/2014 17:34:30,MIDPOINT
2628,ERC020989,13859,ERC020989,Weather,inactive,,Traffic Alert,5739,LOCKHARTS GAP ROAD,forward,LOCKHARTS GAP ROAD,C537,AO,"TOWONG, INDIGO",NORTH EASTERN,HUME (NORTH EAST),,,746,NorthWest,,CHARLEROI,,36D6,WRIGHT LANE,CHARLEROI,ESKDALE SPUR ROAD,CHARLEROI,01/08/2014 17:01:54,02/08/2014 15:50:42,02/08/2014 16:05:41,01/08/2014 17:03:01,MIDPOINT
2629,ERC021197,13943,ERC021197,Vehicle Collision,inactive,Road open,Road Closed,5079,COLLEGE CRESCENT,forward,CEMETERY ROAD W,,AO,MELBOURNE,METRO NORTH WEST,MELBOURNE METROPOLITAN (CENTRAL),,546,0,NorthWest,,CARLTON NORTH,43G2,78H6,CEMETERY ROAD W,PARKVILLE,CEMETERY ROAD E,CARLTON,16/08/2014 05:57:55,16/08/2014 06:48:58,16/08/2014 06:48:51,16/08/2014 06:48:57,MIDPOINT
2630,ERC021457,14503,ERC021457,Road Damage,inactive,UPDATE: Road remains closed between Dandenong Rd and High St due to an earlier burst water main and truck incident. Works are underway to repair the road surface. Works are expected to continue until early Saturday morning.  Drivers are advised to use Williams Rd as an alternative and allow extra time. South East Water - Ph. 131 694,Road Closed,5002,ORRONG ROAD,forward,ORRONG ROAD,,AO,STONNINGTON,METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),6,"220, 980",0,South,,ARMADALE,58H8,79B7,DANDENONG ROAD,ARMADALE,HIGH STREET,ARMADALE,29/08/2014 14:43:49,30/08/2014 01:41:46,30/08/2014 01:56:42,30/08/2014 01:41:45,MIDPOINT
2631,ERC022040,14544,ERC022040,Emergency Works,inactive,All lanes open southbound between Prices Road and Main Road after earlier utility works. ,Traffic Alert,5776,LILYDALE-MONBULK ROAD,reverse,MONBULK ROAD,C404,AO,YARRA RANGES,METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),,"663, 696",0,South,,MONBULK,122H12,79H7,PRICES ROAD,MONBULK,MAIN ROAD,MONBULK,25/09/2014 10:39:24,25/09/2014 17:15:51,25/09/2014 17:30:39,25/09/2014 17:15:50,MIDPOINT
2633,ERC022313,15370,ERC022313,Emergency Works,inactive,All lanes now open between Western Port Highway and McCormicks Road after earlier power works. ,Traffic Alert,5164,THOMPSON ROAD,forward,THOMPSONS ROAD,,AO,"DANDENONG, CASEY, FRANKSTON",METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),,,0,West,,CRANBOURNE WEST,128G8,95E3,WESTERN PORT HIGHWAY,LYNDHURST,MCCORMICKS ROAD,CARRUM DOWNS,08/10/2014 10:18:32,08/10/2014 16:34:14,08/10/2014 16:49:08,08/10/2014 16:34:19,MIDPOINT
2635,ERC019217,10459,ERC019217,Emergency Works,inactive,Speed limit restored northbound on Peninsula Link between Mornington-Tyabb Rd and Bungower Rd. ,Traffic Alert,2601,MORNINGTON PENINSULA FREEWAY,reverse,MORNINGTON PENINSULA FREEWAY,M11,FW,MORNINGTON PENINSULA,METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),,,0,SouthWest,,MOOROODUC,147C6,95C5,MORNINGTON-TYABB ROAD,MOOROODUC,BUNGOWER ROAD,MOOROODUC,12/05/2014 10:47:39,12/05/2014 12:59:52,12/05/2014 12:59:50,12/05/2014 12:59:51,MIDPOINT
2636,ERC019853,12894,ERC019853,Debris,inactive,Speed limit reduced to 40km/h near Kiewa East Road due to an oil spill. Emergency Services are on site. Drivers travelling through the area are advised to allow extra time. ,Traffic Alert,2570,MURRAY VALLEY HIGHWAY,forward,MURRAY VALLEY HIGHWAY,B400,AH,"TOWONG, INDIGO",NORTH EASTERN,HUME (NORTH EAST),,,270,South,,HUON,,36C5,KIEWA EAST ROAD,HUON,TALLANGATTA LOOKOUT ROAD,TALLANGATTA,12/06/2014 09:44:39,12/06/2014 11:17:05,12/06/2014 11:46:11,12/06/2014 11:17:05,MIDPOINT
2637,ERC019987,12897,ERC019987,Emergency Works,inactive,Speed limit back to normal between Sherbrook Road and One Tree Hill Road after earlier tree removal works. ,Traffic Alert,4991,MOUNT DANDENONG ROAD,forward,MOUNT DANDENONG TOURIST ROAD,C415,AO,YARRA RANGES,METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),,"688, 694",0,SouthWest,,FERNY CREEK,75C1,79G8,SHERBROOKE ROAD,FERNY CREEK,ONE TREE HILL ROAD,FERNY CREEK,18/06/2014 09:33:29,18/06/2014 16:39:42,18/06/2014 16:54:32,18/06/2014 16:39:43,MIDPOINT
2638,ERC019997,12916,ERC019997,Emergency Works,inactive,Road now open between Derrimut Road and Morris Road after an earlier gas leak. ,Road Closed,,,forward,LEAKES ROAD,,MU,WYNDHAM,METRO NORTH WEST,MELBOURNE METROPOLITAN (CENTRAL),,,0,West,,TARNEIT,202F2,78D7,DERRIMUT ROAD,TARNEIT,MORRIS ROAD,TRUGANINA,18/06/2014 11:36:38,18/06/2014 13:35:57,18/06/2014 13:50:44,18/06/2014 13:35:58,MIDPOINT
2640,ERC020819,13861,ERC020819,Emergency Works,inactive,All lanes clear between Robinsons Rd and Golf Links Rd after works. ,Traffic Alert,2601,MORNINGTON PENINSULA FREEWAY,forward,MORNINGTON PENINSULA FREEWAY,M11,FW,"FRANKSTON, MORNINGTON PENINSULA",METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),,776,0,North,,LANGWARRIN,103B12,95D4,ROBINSONS ROAD,LANGWARRIN,GOLF LINKS ROAD,BAXTER,28/07/2014 10:03:13,28/07/2014 12:54:09,28/07/2014 13:09:07,28/07/2014 12:54:09,MIDPOINT
2641,ERC021080,13650,ERC021080,Vehicle Collision,inactive,The Greensborough Bypass is closed between Diamond Creek Rd and Grimshaw St. All traffic exiting the Western Ring Rd have to turn right onto the Greensborough Hwy.,Road Closed,2850,GREENSBOROUGH HIGHWAY,forward,GREENSBOROUGH BYPASS,,AH,"NILLUMBIK, BANYULE",METRO NORTH WEST,MELBOURNE METROPOLITAN (CENTRAL),,"901, 902, 958, 566, 520",0,South,,GREENSBOROUGH,20F2,79C5,GREENSBOROUGH BYPASS,GREENSBOROUGH,GRIMSHAW STREET,GREENSBOROUGH,07/08/2014 19:09:26,07/08/2014 21:14:24,07/08/2014 23:14:21,07/08/2014 21:14:23,MIDPOINT
2642,ERC021107,13405,ERC021107,Vehicle Collision,inactive,Road now open between Hill Rd ,Road Closed,2720,MAROONDAH HIGHWAY,forward,MAROONDAH HIGHWAY,B360,AH,YARRA RANGES,METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),,"684, 685",16,SouthWest,MAXWELLS ROAD,HEALESVILLE,277D9,79J4,HILL ROAD,COLDSTREAM,HEALESVILLE-KOO WEE RUP ROAD,HEALESVILLE,11/08/2014 10:01:45,11/08/2014 14:25:01,11/08/2014 15:25:00,11/08/2014 14:25:01,INCIDENT
2643,ERC021119,13697,ERC021119,Vehicle Collision,inactive,All lanes cleared northbound between Euroa-Mansfield Rd ,1 lane closed northbound,2550,HUME FREEWAY,forward,HUME FREEWAY,M31,FW,STRATHBOGIE,NORTH EASTERN,HUME (NORTH EAST),,,0,West,,EUROA,,47B5,EUROA-MANSFIELD ROAD,EUROA,TARCOMBE STREET,EUROA,11/08/2014 16:00:57,11/08/2014 18:28:22,11/08/2014 18:58:17,11/08/2014 18:28:21,MIDPOINT
2644,ERC021334,13695,ERC021334,Flood,inactive,Speed limit restored after heavy rain and water. ,Traffic Alert,2190,SURFCOAST HIGHWAY,forward,TORQUAY ROAD,B100,AH,GEELONG,SOUTH WESTERN,GRAMPIANS (MID WEST),,,0,North,,GROVEDALE,465G10,93G5,HEYERS ROAD,GROVEDALE,BOUNDARY ROAD,ARMSTRONG CREEK,24/08/2014 01:21:25,26/08/2014 07:23:56,26/08/2014 07:37:39,26/08/2014 07:23:56,MIDPOINT
2645,ERC021561,15174,ERC021561,Emergency Works,inactive,All lanes clear northbound between Maroondah Hwy and Ringwood Bypass after utility works. ,Traffic Alert,5806,RINGWOOD-WARRANDYTE ROAD,reverse,WARRANDYTE ROAD,,AO,MAROONDAH,METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),,"670, 679, 684, 901, 906, 966, 366, 367, 271, 364, 270",0,North,,RINGWOOD,49H8,79E7,MAROONDAH HIGHWAY,RINGWOOD,RINGWOOD BYPASS,RINGWOOD,05/09/2014 06:54:39,05/09/2014 15:09:50,05/09/2014 15:24:49,05/09/2014 15:09:50,MIDPOINT
2646,ERC022083,14194,ERC022083,Emergency Incident,inactive,Wellington Parade is still closed to all traffic between Clarendon and Powlett Streets due to a Police incident. Emergency Services are on site. Local detour in place VicRoads advises to allow additional time for your journey through the area,Traffic Alert,5103,WELLINGTON PARADE,forward,WELLINGTON PARADE,,AO,MELBOURNE,METRO NORTH WEST,MELBOURNE METROPOLITAN (CENTRAL),"75, 48",968,0,West,,EAST MELBOURNE,44B9,78H7,CLARENDON STREET,EAST MELBOURNE,POWLETT STREET,EAST MELBOURNE,28/09/2014 12:28:42,28/09/2014 23:49:10,29/09/2014 00:04:07,28/09/2014 23:49:11,MIDPOINT
2647,ERC022681,14242,ERC022681,Vehicle Collision,inactive,"The Princes Hwy is closed between Mt Pollock Rd and Barrabool Rd due to a vehicle collision.Heavy vehicles are advised to use Cape Otway Rd, local detours in place for other vehicles.Drivers are advised to allow extra time for their journey.",Road Closed,2500,PRINCES HIGHWAY WEST,forward,PRINCES HIGHWAY,A1,AH,SURF COAST,SOUTH WESTERN,BARWON (SOUTH WEST),,,0,NorthEast,,BUCKLEY,,93D5,MT POLLOCK ROAD,BUCKLEY,BARRABOOL ROAD,BUCKLEY,26/10/2014 07:21:25,26/10/2014 17:27:32,26/10/2014 17:42:30,26/10/2014 17:27:32,MIDPOINT
2649,ERC024781,17223,ERC024781,Vehicle Collision,inactive,All lanes open after earlier vehicle collision. ,Road Closed,2640,GOULBURN VALLEY HIGHWAY,forward,GOULBURN VALLEY HIGHWAY,B300,AH,MURRINDINDI,NORTH EASTERN,HUME (NORTH EAST),,,9,NorthEast,NATIVE DOG ROAD,MOLESWORTH,,62B4,WHATTON PLACE,YEA,RIDDS ROAD,CATHKIN,02/02/2015 07:26:39,02/02/2015 12:49:07,02/02/2015 13:04:06,02/02/2015 12:49:06,INCIDENT
2651,ERC025547,16784,ERC025547,Vehicle Collision,inactive,All lanes open. ,All lanes closed southbound,5318,CLARENDON STREET,forward,CLARENDON STREET,,AO,MELBOURNE,METRO NORTH WEST,MELBOURNE METROPOLITAN (CENTRAL),"112, 96, 109","944, 958, 253, 942, 250, 251, 970",0,North,,SOUTHBANK,43F11,78H7,NORMANBY ROAD,SOUTHBANK,CITY ROAD,SOUTHBANK,07/03/2015 00:14:07,07/03/2015 01:05:08,07/03/2015 01:04:57,07/03/2015 01:05:06,MIDPOINT
2652,ERC026739,17844,ERC026739,Weather,inactive,Lanes open. ,Traffic Alert,2998,SOUTHERN LINK TOLLWAY,forward,BURNLEY TUNNEL,M1,FW,"YARRA, MELBOURNE",METRO NORTH WEST,MELBOURNE METROPOLITAN (CENTRAL),"78, 79","968, 605",23,NorthEast,,MELBOURNE,58G1,78H7,ST KILDA ROAD SERVICE ROAD,MELBOURNE,CITYLINK OUT-BURNLEY RAMP OF,RICHMOND,06/05/2015 16:33:54,06/05/2015 17:07:45,06/05/2015 17:22:44,06/05/2015 17:07:44,MIDPOINT
2653,ERC025622,16788,ERC025622,Emergency Incident,inactive,Road now open between Gertrude St and High St after earlier flooding. ,Road Closed,,,forward,THE AVENUE,,MU,STONNINGTON,METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),6,,0,South,,WINDSOR,58F7,78H7,GERTRUDE STREET,WINDSOR,HIGH STREET,WINDSOR,12/03/2015 13:25:30,12/03/2015 16:59:00,12/03/2015 17:13:48,12/03/2015 16:58:59,MIDPOINT
2654,ERC018520,11561,ERC018520,Emergency Works,inactive,All lanes clear eastbound between Watson St and Ruby St after utility gas works.,Traffic Alert,2400,STATE (BELL/SPRINGVALE) HIGHWAY,forward,BELL STREET,,AH,DAREBIN,METRO NORTH WEST,MELBOURNE METROPOLITAN (CENTRAL),,513,0,West,,PRESTON,30J2,79B5,WATSON STREET,PRESTON,RUBY STREET,PRESTON,07/04/2014 09:57:09,07/04/2014 16:39:19,07/04/2014 16:39:27,07/04/2014 16:39:28,MIDPOINT
2655,ERC017643,11063,ERC017643,Fire,inactive,Road closed between Dellicknora Road and Bonang Road.Drivers are advised to avoid the area.For fire updates visit www.cfa.vic.gov.au,Road Closed - Residents Access Only,4006,MCKILLOPS ROAD,forward,MCKILLOPS ROAD,C611,AO,EAST GIPPSLAND,EASTERN,GIPPSLAND (EAST),,,124,South,,BONANG,,68C4,DELLICKNORA ROAD,BONANG,BONANG ROAD,BONANG,14/02/2014 15:48:19,14/02/2014 17:21:17,14/02/2014 18:21:15,14/02/2014 17:21:17,MIDPOINT
2656,ERC018556,12650,ERC018556,Vehicle Collision,inactive,All lanes clear eastbound between St Albans Rd and Western Ring Rd after fallen power lines. ,All lanes closed eastbound,5215,FURLONG ROAD,forward,FURLONG ROAD,,AO,BRIMBANK,METRO NORTH WEST,MELBOURNE METROPOLITAN (CENTRAL),,408,0,East,,ST ALBANS,26D6,78F6,ST ALBANS ROAD,ST ALBANS,WESTERN RING ROAD,ST ALBANS,08/04/2014 14:34:52,08/04/2014 17:52:05,08/04/2014 17:52:03,08/04/2014 17:52:05,MIDPOINT
2657,ERC019030,11241,ERC019030,Vehicle Collision,inactive,Road closed between Donnybrook Road and Sparks Road due to a vehicle collision. Police directing traffic. Drivers travelling through the area are advised to allow extra time. ,Road Closed,5580,BELMONT-CORIO ROAD,forward,THOMPSON ROAD,C136,AO,GEELONG,SOUTH WESTERN,GRAMPIANS (MID WEST),,,0,South,,NORLANE,431J12,93G3,DONNYBROOK ROAD,NORLANE,SPARKS ROAD,NORLANE,01/05/2014 18:33:33,01/05/2014 23:40:54,02/05/2014 00:40:52,01/05/2014 23:40:53,MIDPOINT
2659,ERC020373,13237,ERC020373,Emergency Works,inactive,All lanes clear southbound between Hotham Gve and Davis St after emergency water works. ,Traffic Alert,5596,HOTHAM STREET,forward,HOTHAM STREET,,AO,"GLEN EIRA, PORT PHILLIP","METRO NORTH WEST, METRO SOUTH EAST",MELBOURNE METROPOLITAN (CENTRAL),,"216, 219",0,South,,ELSTERNWICK,67E3,78H8,HOTHAM GROVE,ELSTERNWICK,DAVIS STREET,ELSTERNWICK,07/07/2014 15:26:53,07/07/2014 18:03:09,07/07/2014 18:18:07,07/07/2014 18:03:09,MIDPOINT
2660,ERC020416,12768,ERC020416,Emergency Works,inactive,All lanes open northbound between Elgin Street and Palmerston Street after earlier gas works. ,Traffic Alert,,,forward,RATHDOWNE STREET,,MU,MELBOURNE,METRO NORTH WEST,MELBOURNE METROPOLITAN (CENTRAL),,"205, 203, 253, 201, 207, 250, 251, 200",0,North,,CARLTON,43J3,78H6,ELGIN STREET,CARLTON,PALMERSTON STREET,CARLTON,09/07/2014 09:20:27,09/07/2014 17:40:22,09/07/2014 17:55:10,09/07/2014 17:40:22,MIDPOINT
